JOB_NAME,PARTITION,N_TASKS,WALL_TIME,MEM_PER_CPU,SIZE,PROB,L,EDGES,SEED_START,SEED_END
completeness,medium,24,6-23:00,128000,7,0.5,0.3,3,33,333
completeness,medium,24,6-23:00,128000,8,0.3,0.3,3,1,99
